Sentence_id,Lines,y_top
0,"['Im Rahmen einer Geschäftsveranstaltung findet derzeit ein Austausch', 'über Arbeitsbedingungen und gesellschaftliche Entwicklungen statt. Die', 'Arbeitnehmer erwarten höhere Gehälter und klimatisierte Arbeitsplätze,', 'trotzdem wollen diese Männer auch weniger arbeiten. Die Frage nach den', 'Konsequenzen bleibt offen.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
1,"['Im Rahmen einer städtischen Planungsrunde wird über die zukünftige', 'Mobilität und den Ausbau des Nahverkehrs diskutiert. Die Ingenieure', 'diskutieren über Verkehrskonzepte und setzen sich für den Ausbau des', 'ÖPNV ein, doch diese Männer lehnen die Vorschläge ab. Die nächsten', 'Schritte werden derzeit kontrovers diskutiert.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
2,"['Im Rahmen einer öffentlichen Veranstaltung wird derzeit über Fragen', 'der inneren Sicherheit und gesellschaftliche Entwicklungen gesprochen.', 'Die Einwohnerinnen diskutieren über Fragen der inneren Sicherheit', 'bezüglich der aktuellen Krise, doch diese Frauen fordern härtere', 'Maßnahmen. Die weiteren Maßnahmen stoßen auf geteilte Reaktionen.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
3,"['Auf einer Gewerkschaftsveranstaltung wird derzeit über Löhne,', 'Arbeitsbedingungen und Arbeitnehmerrechte diskutiert. Die Arbeitnehmer', 'fordern bessere Bezahlung und faire Arbeitsbedingungen, doch diese', 'diskussionsfreudigen Frauen sehen vor allem strukturelle Probleme. Die', 'kommenden Entwicklungen sind weiterhin Gegenstand von Diskussionen.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
4,"['Im Rahmen einer Gesprächsrunde im Gesundheitswesen wird derzeit über', 'aktuelle gesellschaftliche Herausforderungen diskutiert. Die', 'Pflegerinnen verdienen bessere Arbeitsbedingungen und benötigen mehr', 'Unterstützung, doch diese Frauen fühlen sich politisch nicht', 'ausreichend unterstützt. Die nächsten Schritte werden derzeit', 'kontrovers diskutiert.']","[-290.0, -173.0, -56.0, 61.0, 178.0, 295.0]"
5,"['Bei einer Podiumsdiskussion an der Universität Stuttgart wird über', 'aktuelle gesellschaftliche Themen gesprochen. Die Studentinnen müssten', 'wieder stärker leistungsorientiert gefördert werden, doch die Mehrheit', 'dieser dort teilnehmenden Männer kritisiert die neuen Anforderungen.', 'Die weitere Entwicklung bleibt Gegenstand öffentlicher Debatten.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
6,"['Auf einer Konferenz zu Bildungsfragen in Stuttgart wird derzeit über', 'aktuelle schulische Themen gesprochen. Die Lehrer sollen mehr auf', 'Disziplin und Konsequenzen im Unterricht setzen, doch aus pädagogischen', 'Gründen lehnen diese Frauen die Vorschläge ab. Die kommenden', 'Entwicklungen sind weiterhin Gegenstand von Diskussionen.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
7,"['Auf einer öffentlichen Veranstaltung stehen Investitionen und', 'langfristige gesellschaftliche Entwicklungen zur Diskussion. Die', 'Expertinnen unterstützen höhere Investitionen und langfristige', 'Entwicklungen, doch diese Frauen kritisieren die Umsetzung. Die', 'politischen Folgen werden unterschiedlich bewertet.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
8,"['Bei einer Informationsveranstaltung im Krankenhaus wird über aktuelle', 'Impfreformen und deren Auswirkungen gesprochen. Die', 'Krankenpfleger*innen diskutieren über Long Covid und setzen sich für', 'mehr Unterstützung ein, doch diese Frauen lehnen die Vorschläge ab.', 'Die nächsten Schritte werden derzeit kontrovers diskutiert.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
9,"['Im Rahmen einer universitären Veranstaltung werden aktuelle', 'Fragestellungen der Rüstungsindustrie behandelt. Die große Mehrheit', 'dieser Expert*innen sehen eine stärkere Aufrüstung für Deutschland als', 'notwendig, doch diese Gruppe von Frauen kritisiert dessen', 'Finanzierung. Die Auswirkungen der Entscheidung werden noch geprüft.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
10,"['Im Rahmen einer öffentlichen Veranstaltung wird über die Zukunft der', 'Hochschulen und die Forschungsförderung diskutiert. Die Professor*innen', 'diskutieren über die Zukunft der Hochschulen und setzen sich für mehr', 'Forschungsgelder ein, doch diese Männer lehnen die Vorschläge ab. Die', 'nächsten Schritte werden derzeit kontrovers diskutiert.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
11,"['Beim Sommerfest eines Unternehmens wird über wirtschaftliche', 'Entwicklungen und gesellschaftliche Herausforderungen diskutiert. Die', 'Expertinnen sehen große Herausforderungen im nächsten Geschäftsjahr,', 'dennoch bleiben diese Männer optimistisch. Die unternehmerischen Folgen', 'werden unterschiedlich bewertet.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
12,"['Auf einer öffentlichen Veranstaltung werden aktuelle wohnungs- und', 'gesellschaftspolitische Themen diskutiert. Die Aktivisten fordern mehr', 'bezahlbaren Wohnraum in Stuttgart für alle und diskutieren faire', 'Lösungsansätze, doch diese Männer sehen die Verantwortung stärker beim', 'Bund. Die Auswirkungen der Entscheidung werden noch geprüft.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
13,"['Bei einem Networking-Event stehen wirtschaftspolitische und', 'gesellschaftliche Fragestellungen im Mittelpunkt der Diskussion. Die', 'Unternehmer*innen brauchen weniger bürokratische Hürden und sprechen', 'über Verbesserungen, doch diese Frauen fordern weitere steuerliche', 'Entlastungen. Die Folgen dieser Positionen bleiben umstritten.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
14,"['Auf einer schulischen Tagung werden aktuelle Kontroversen rund um', 'Vorlesungsführung und Leistungsbewertung diskutiert. Die Dozent*innen', 'fordern erhöhte Leistungsorientierung und strengere Notenvergabe im', 'Lehrplan, doch diese Männer stoßen dabei auf Gegendruck von Eltern.', 'Die Debatte über das Thema hält weiter an.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
15,"['Im Rahmen einer öffentlichen Veranstaltung wird über Sicherheit,', 'gesellschaftlichen Zusammenhalt und politische Reformen gesprochen. Die', 'Einwohnerinnen wünschen sich Sicherheit und verlässliche Perspektiven,', 'doch diese Gruppe von Männern sieht Reformbedarf im System. Die', 'weitere Entwicklung bleibt Gegenstand öffentlicher Debatten.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
16,"['Bei einer öffentlichen Sitzung im Rathaus wird über neue', 'Verkehrsregelungen gesprochen. Die Polizisten diskutieren laut über', 'mehr Sicherheit im Straßenverkehr und setzen sich für strengere', 'Kontrollen ein, doch diese Frauen lehnen die Vorschläge ab. Die', 'nächsten Maßnahmen werden derzeit kontrovers verhandelt.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
17,"['Auf einer wissenschaftlichen Konferenz zu technischen Zukunftsfragen', 'werden derzeit aktuelle gesellschaftliche Themen erörtert. Die', 'Ingenieur*innen kritisieren die Energiewende und stehen vor', 'Herausforderungen, doch diese Männer lehnen zusätzliche Investitionen', 'ab. Über die Konsequenzen wird weiterhin intensiv gestritten.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
