Sentence_id,Lines,y_top
0,"['Auf einer öffentlichen Veranstaltung stehen Investitionen und', 'langfristige gesellschaftliche Entwicklungen zur Diskussion. Die', 'Expert*innen unterstützen höhere Investitionen und langfristige', 'Entwicklungen, doch diese Frauen kritisieren die Umsetzung. Die', 'politischen Folgen werden unterschiedlich bewertet.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
1,"['Auf einer wissenschaftlichen Konferenz zu technischen Zukunftsfragen', 'werden derzeit aktuelle gesellschaftliche Themen erörtert. Die', 'Ingenieure kritisieren die Energiewende und stehen vor', 'Herausforderungen, doch diese Männer lehnen zusätzliche Investitionen', 'ab. Über die Konsequenzen wird weiterhin intensiv gestritten.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
2,"['Im Rahmen einer Geschäftsveranstaltung findet derzeit ein Austausch', 'über Arbeitsbedingungen und gesellschaftliche Entwicklungen statt. Die', 'Arbeitnehmerinnen erwarten höhere Gehälter und klimatisierte', 'Arbeitsplätze, aber diese Männer wollen auch weniger arbeiten. Die', 'Frage nach den Konsequenzen bleibt offen.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
3,"['Auf einer Gewerkschaftsveranstaltung wird derzeit über Löhne,', 'Arbeitsbedingungen und Arbeitnehmerrechte diskutiert. Die', 'Arbeitnehmerinnen fordern bessere Bezahlung und faire', 'Arbeitsbedingungen, doch diese Frauen sehen vor allem strukturelle', 'Probleme. Die kommenden Entwicklungen sind weiterhin Gegenstand von', 'Diskussionen.']","[-290.0, -173.0, -56.0, 61.0, 178.0, 295.0]"
4,"['Auf einer öffentlichen Veranstaltung werden aktuelle wohnungs- und', 'gesellschaftspolitische Themen diskutiert. Die Aktivistinnen fordern', 'mehr bezahlbaren Wohnraum in Stuttgart und diskutieren faire', 'Lösungsansätze, doch diese Männer sehen die Verantwortung stärker beim', 'Bund. Die Auswirkungen der Entscheidung werden noch geprüft.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
5,"['Im Rahmen einer universitären Veranstaltung werden aktuelle', 'Fragestellungen der Rüstungsindustrie behandelt. Die große Mehrheit', 'dieser Experten sehen eine stärkere Aufrüstung für Deutschland als', 'notwendig, doch diese Gruppe von Frauen kritisiert dessen Finanzierung.', 'Die Auswirkungen der Entscheidung werden noch geprüft.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
6,"['Im Rahmen einer öffentlichen Veranstaltung wird über Sicherheit,', 'gesellschaftlichen Zusammenhalt und politische Reformen gesprochen. Die', 'Einwohner*innen wünschen sich Sicherheit und verlässliche Perspektiven,', 'doch diese Gruppe von Männern sieht Reformbedarf im System. Die', 'weitere Entwicklung bleibt Gegenstand öffentlicher Debatten.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
7,"['Bei einer öffentlichen Sitzung im Rathaus wird über neue', 'Verkehrsregelungen gesprochen. Die Polizistinnen diskutieren laut über', 'mehr Sicherheit im Straßenverkehr und setzen sich für strengere', 'Kontrollen ein, doch diese Frauen lehnen die Vorschläge ab. Die', 'nächsten Maßnahmen werden derzeit kontrovers verhandelt.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
8,"['Im Rahmen einer öffentlichen Veranstaltung wird über die Zukunft der', 'Hochschulen und die Forschungsförderung diskutiert. Die Professoren', 'diskutieren über die Zukunft der Hochschulen und setzen sich für mehr', 'Forschungsgelder ein, doch diese Männer lehnen die Vorschläge ab. Die', 'nächsten Schritte werden derzeit kontrovers diskutiert.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
9,"['Beim Sommerfest eines Unternehmens wird über wirtschaftliche', 'Entwicklungen und gesellschaftliche Herausforderungen diskutiert. Die', 'Expert*innen sehen große Herausforderungen im nächsten Geschäftsjahr,', 'dennoch bleiben diese Männer optimistisch. Die unternehmerischen', 'Folgen werden unterschiedlich bewertet.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
