Sentence_id,Lines,y_top
0,"['Auf einer öffentlichen Veranstaltung werden aktuelle wohnungs- und', 'gesellschaftspolitische Themen diskutiert. Die Aktivist*innen fordern', 'mehr bezahlbaren Wohnraum in Stuttgart und diskutieren faire', 'Lösungsansätze, doch diese Frauen sehen die Verantwortung stärker beim', 'Bund. Die Auswirkungen der Entscheidung werden noch geprüft.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
1,"['Auf einer Gewerkschaftsveranstaltung wird derzeit über Löhne,', 'Arbeitsbedingungen und Arbeitnehmerrechte diskutiert. Die Arbeitnehmer', 'fordern bessere Bezahlung und faire Arbeitsbedingungen, doch diese', 'diskussionsfreudigen Männer sehen vor allem strukturelle Probleme. Die', 'kommenden Entwicklungen sind weiterhin Gegenstand von Diskussionen.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
2,"['Bei einer öffentlichen Sitzung im Rathaus wird über neue', 'Verkehrsregelungen gesprochen. Die Polizisten diskutieren laut über', 'mehr Sicherheit im Straßenverkehr und setzen sich für strengere', 'Kontrollen ein, doch diese Männer lehnen die Vorschläge ab. Die', 'nächsten Maßnahmen werden derzeit kontrovers verhandelt.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
3,"['Beim Sommerfest eines Unternehmens wird über wirtschaftliche', 'Entwicklungen und gesellschaftliche Herausforderungen diskutiert. Die', 'Experten sehen große Herausforderungen im nächsten Geschäftsjahr,', 'dennoch bleiben diese Frauen optimistisch. Die unternehmerischen Folgen', 'werden unterschiedlich bewertet.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
4,"['Auf einer wissenschaftlichen Konferenz zu technischen Zukunftsfragen', 'werden derzeit aktuelle gesellschaftliche Themen erörtert. Die', 'Ingenieurinnen kritisieren die Energiewende und stehen vor', 'Herausforderungen, doch diese Frauen lehnen zusätzliche Investitionen', 'ab. Über die Konsequenzen wird weiterhin intensiv gestritten.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
5,"['Im Rahmen einer öffentlichen Veranstaltung wird über Sicherheit,', 'gesellschaftlichen Zusammenhalt und politische Reformen gesprochen. Die', 'Einwohner wünschen sich mehr Sicherheit und verlässliche Perspektiven,', 'doch diese Gruppe von Frauen sieht Reformbedarf im System. Die weitere', 'Entwicklung bleibt Gegenstand öffentlicher Debatten.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
6,"['Im Rahmen einer Gesprächsrunde im Gesundheitswesen wird derzeit über', 'aktuelle gesellschaftliche Herausforderungen diskutiert. Die', 'Pflegerinnen verdienen bessere Arbeitsbedingungen und benötigen mehr', 'Unterstützung, doch diese Männer fühlen sich politisch nicht', 'ausreichend unterstützt. Die nächsten Schritte werden derzeit', 'kontrovers diskutiert.']","[-290.0, -173.0, -56.0, 61.0, 178.0, 295.0]"
7,"['Auf einer schulischen Tagung werden aktuelle Kontroversen rund um', 'Vorlesungsführung und Leistungsbewertung diskutiert. Die Dozentinnen', 'fordern erhöhte Leistungsorientierung und strengere Notenvergabe im', 'Lehrplan, doch diese Frauen stoßen dabei auf Gegendruck von Eltern.', 'Die Debatte über das Thema hält weiter an.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
8,"['Im Rahmen einer städtischen Planungsrunde wird über die zukünftige', 'Mobilität und den Ausbau des Nahverkehrs diskutiert. Die', 'Ingenieur*innen diskutieren über Verkehrskonzepte und setzen sich für', 'den Ausbau des ÖPNV ein, doch diese Frauen lehnen die Vorschläge ab.', 'Die nächsten Schritte werden derzeit kontrovers diskutiert.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
9,"['Im Rahmen einer öffentlichen Veranstaltung wird derzeit über Fragen', 'der inneren Sicherheit und gesellschaftliche Entwicklungen gesprochen.', 'Die Einwohnerinnen diskutieren über Fragen der inneren Sicherheit', 'bezüglich der aktuellen Krise, doch diese Männer fordern härtere', 'Maßnahmen. Die weiteren Maßnahmen stoßen auf geteilte Reaktionen.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
10,"['Bei einem Networking-Event stehen wirtschaftspolitische und', 'gesellschaftliche Fragestellungen im Mittelpunkt der Diskussion. Die', 'Unternehmer*innen brauchen weniger bürokratische Hürden und sprechen', 'über Verbesserungen, doch diese Männer fordern weitere steuerliche', 'Entlastungen. Die Folgen dieser Positionen bleiben umstritten.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
11,"['Im Rahmen einer universitären Veranstaltung werden aktuelle', 'Fragestellungen der Rüstungsindustrie behandelt. Die große Mehrheit', 'dieser Expert*innen sehen eine stärkere Aufrüstung für Deutschland als', 'notwendig, doch diese Gruppe von Männern kritisiert dessen', 'Finanzierung. Die Auswirkungen der Entscheidung werden noch geprüft.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
